inputName,size
11,29
19,27
12,6
38,11
81,29
5,6
40,3
70,3
23,11
72,6
79,27
78,11
87,5
6,18
68,11
69,27
1,29
45,6
33,11
15,6
93,11
24,2
25,6
26,18
48,11
71,29
76,18
7,5
50,3
22,6
4,2
32,6
77,5
91,29
42,6
13,11
41,29
55,6
31,29
66,18
65,6
62,6
21,29
95,6
84,2
58,11
64,2
83,11
94,2
0,3
99,27
96,18
67,5
61,29
43,11
2,6
54,2
30,3
59,27
85,6
74,2
90,3
18,11
52,6
44,2
17,5
36,18
49,27
86,18
37,5
56,18
63,11
35,6
97,5
75,6
57,5
88,11
10,3
53,11
8,11
39,27
47,5
60,3
89,27
51,29
14,2
28,11
16,18
34,2
82,6
46,18
27,5
20,3
9,27
92,6
3,11
98,11
29,27
80,3
73,11
