inputName,n
11,9
19,9
12,9
38,24
81,23
5,14
40,18
70,7
23,24
72,7
79,7
78,7
87,23
6,14
68,30
69,30
1,14
45,18
33,24
15,9
93,24
24,24
25,24
26,24
48,18
71,7
76,7
7,14
50,16
22,24
4,14
32,24
77,7
91,24
42,18
13,9
41,18
55,16
31,24
66,30
65,30
62,30
21,24
95,24
84,23
58,16
64,30
83,23
94,24
0,14
99,24
96,24
67,30
61,30
43,18
2,14
54,16
30,24
59,16
85,23
74,7
90,24
18,9
52,16
44,18
17,9
36,24
49,18
86,23
37,24
56,16
63,30
35,24
97,24
75,7
57,16
88,23
10,9
53,16
8,14
39,24
47,18
60,30
89,23
51,16
14,9
28,24
16,9
34,24
82,23
46,18
27,24
20,24
9,14
92,24
3,14
98,24
29,24
80,23
73,7
