inputName,size
11,20
19,10
12,21
38,18
81,16
5,23
40,29
70,11
23,3
72,23
79,13
78,23
87,6
6,6
68,12
69,6
1,13
45,2
33,20
15,10
93,8
24,18
25,22
26,3
48,29
71,24
76,20
7,19
50,24
22,23
4,11
32,10
77,13
91,5
42,24
13,31
41,3
55,25
31,30
66,3
65,7
62,14
21,9
95,30
84,5
58,17
64,28
83,27
94,27
0,7
99,3
96,24
67,16
61,2
43,25
2,17
54,26
30,10
59,14
85,23
74,30
90,13
18,11
52,11
44,10
17,18
36,5
49,14
86,18
37,25
56,5
63,22
35,27
97,24
75,17
57,3
88,18
10,13
53,32
8,8
39,31
47,27
60,3
89,26
51,16
14,17
28,3
16,15
34,30
82,17
46,21
27,31
20,8
9,22
92,14
3,29
98,28
29,11
80,2
73,6
