inputName,size
11,24
19,15
12,19
38,4
81,24
5,20
40,22
70,22
23,12
72,19
79,15
78,4
87,22
6,15
68,4
69,15
1,24
45,20
33,12
15,20
93,12
24,14
25,20
26,15
48,4
71,24
76,15
7,22
50,22
22,19
4,14
32,19
77,22
91,24
42,19
13,12
41,24
55,20
31,24
66,15
65,20
62,19
21,24
95,20
84,14
58,4
64,14
83,12
94,14
0,22
99,15
96,15
67,22
61,24
43,12
2,19
54,14
30,22
59,15
85,20
74,14
90,22
18,4
52,19
44,14
17,22
36,15
49,15
86,15
37,22
56,15
63,12
35,20
97,22
75,20
57,22
88,4
10,22
53,12
8,4
39,15
47,22
60,22
89,15
51,24
14,14
28,4
16,15
34,14
82,19
46,15
27,22
20,22
9,15
92,19
3,12
98,4
29,15
80,22
73,12
