inputName,n
11,10
19,10
12,10
38,30
81,24
5,7
40,3
70,12
23,5
72,12
79,12
78,12
87,24
6,7
68,32
69,32
1,7
45,3
33,30
15,10
93,31
24,5
25,5
26,5
48,3
71,12
76,12
7,7
50,19
22,5
4,7
32,30
77,12
91,31
42,3
13,10
41,3
55,19
31,30
66,32
65,32
62,32
21,5
95,31
84,24
58,19
64,32
83,24
94,31
0,7
99,31
96,31
67,32
61,32
43,3
2,7
54,19
30,30
59,19
85,24
74,12
90,31
18,10
52,19
44,3
17,10
36,30
49,3
86,24
37,30
56,19
63,32
35,30
97,31
75,12
57,19
88,24
10,10
53,19
8,7
39,30
47,3
60,32
89,24
51,19
14,10
28,5
16,10
34,30
82,24
46,3
27,5
20,5
9,7
92,31
3,7
98,31
29,5
80,24
73,12
