inputName,size
11,23
19,13
12,13
38,26
81,20
5,8
40,21
70,16
23,5
72,18
79,17
78,23
87,10
6,18
68,6
69,2
1,15
45,25
33,15
15,19
93,9
24,4
25,3
26,12
48,19
71,9
76,5
7,4
50,7
22,6
4,23
32,7
77,5
91,15
42,2
13,2
41,25
55,10
31,26
66,7
65,19
62,13
21,7
95,21
84,26
58,24
64,4
83,22
94,17
0,4
99,21
96,2
67,5
61,14
43,20
2,25
54,15
30,21
59,3
85,14
74,21
90,6
18,26
52,3
44,24
17,4
36,10
49,19
86,24
37,18
56,26
63,18
35,6
97,26
75,12
57,21
88,21
10,20
53,2
8,15
39,17
47,16
60,14
89,20
51,7
14,24
28,5
16,15
34,15
82,23
46,4
27,24
20,26
9,13
92,18
3,21
98,7
29,2
80,11
73,16
