inputName,n
11,8
19,8
12,8
38,32
81,23
5,12
40,16
70,13
23,21
72,13
79,13
78,13
87,23
6,12
68,18
69,18
1,12
45,16
33,32
15,8
93,28
24,21
25,21
26,21
48,16
71,13
76,13
7,12
50,9
22,21
4,12
32,32
77,13
91,28
42,16
13,8
41,16
55,9
31,32
66,18
65,18
62,18
21,21
95,28
84,23
58,9
64,18
83,23
94,28
0,12
99,28
96,28
67,18
61,18
43,16
2,12
54,9
30,32
59,9
85,23
74,13
90,28
18,8
52,9
44,16
17,8
36,32
49,16
86,23
37,32
56,9
63,18
35,32
97,28
75,13
57,9
88,23
10,8
53,9
8,12
39,32
47,16
60,18
89,23
51,9
14,8
28,21
16,8
34,32
82,23
46,16
27,21
20,21
9,12
92,28
3,12
98,28
29,21
80,23
73,13
