inputName,size
11,25
19,22
12,16
38,19
81,25
5,6
40,12
70,12
23,29
72,16
79,22
78,19
87,12
6,20
68,19
69,22
1,25
45,6
33,29
15,6
93,29
24,26
25,6
26,20
48,19
71,25
76,20
7,12
50,12
22,16
4,26
32,16
77,12
91,25
42,16
13,29
41,25
55,6
31,25
66,20
65,6
62,16
21,25
95,6
84,26
58,19
64,26
83,29
94,26
0,12
99,22
96,20
67,12
61,25
43,29
2,16
54,26
30,12
59,22
85,6
74,26
90,12
18,19
52,16
44,26
17,12
36,20
49,22
86,20
37,12
56,20
63,29
35,6
97,12
75,6
57,12
88,19
10,12
53,29
8,19
39,22
47,12
60,12
89,22
51,25
14,26
28,19
16,20
34,26
82,16
46,20
27,12
20,12
9,22
92,16
3,29
98,19
29,22
80,12
73,29
