inputName,size
11,11
19,17
12,25
38,14
81,11
5,9
40,21
70,21
23,18
72,25
79,17
78,14
87,30
6,6
68,14
69,17
1,11
45,9
33,18
15,9
93,18
24,21
25,9
26,6
48,14
71,11
76,6
7,30
50,21
22,25
4,21
32,25
77,30
91,11
42,25
13,18
41,11
55,9
31,11
66,6
65,9
62,25
21,11
95,9
84,21
58,14
64,21
83,18
94,21
0,21
99,17
96,6
67,30
61,11
43,18
2,25
54,21
30,21
59,17
85,9
74,21
90,21
18,14
52,25
44,21
17,30
36,6
49,17
86,6
37,30
56,6
63,18
35,9
97,30
75,9
57,30
88,14
10,21
53,18
8,14
39,17
47,30
60,21
89,17
51,11
14,21
28,14
16,6
34,21
82,25
46,6
27,30
20,21
9,17
92,25
3,18
98,14
29,17
80,21
73,18
